Provincias;Tasas;Sexo;Periodo;Total
01 Araba/Álava;Tasa de actividad;Ambos sexos;2019T4;56,40
01 Araba/Álava;Tasa de actividad;Ambos sexos;2019T3;57,22
01 Araba/Álava;Tasa de actividad;Ambos sexos;2019T2;58,35
01 Araba/Álava;Tasa de actividad;Ambos sexos;2019T1;59,38
01 Araba/Álava;Tasa de actividad;Ambos sexos;2018T4;58,13
01 Araba/Álava;Tasa de actividad;Ambos sexos;2018T3;57,77
01 Araba/Álava;Tasa de actividad;Ambos sexos;2018T2;57,70
01 Araba/Álava;Tasa de actividad;Ambos sexos;2018T1;57,56
01 Araba/Álava;Tasa de actividad;Ambos sexos;2017T4;57,96
01 Araba/Álava;Tasa de actividad;Ambos sexos;2017T3;56,71
01 Araba/Álava;Tasa de actividad;Ambos sexos;2017T2;57,11
01 Araba/Álava;Tasa de actividad;Ambos sexos;2017T1;56,85
01 Araba/Álava;Tasa de actividad;Ambos sexos;2016T4;58,85
01 Araba/Álava;Tasa de actividad;Ambos sexos;2016T3;58,16
01 Araba/Álava;Tasa de actividad;Ambos sexos;2016T2;57,86
01 Araba/Álava;Tasa de actividad;Ambos sexos;2016T1;58,86
01 Araba/Álava;Tasa de actividad;Ambos sexos;2015T4;59,52
01 Araba/Álava;Tasa de actividad;Ambos sexos;2015T3;57,86
01 Araba/Álava;Tasa de actividad;Ambos sexos;2015T2;59,83
01 Araba/Álava;Tasa de actividad;Ambos sexos;2015T1;61,22
01 Araba/Álava;Tasa de actividad;Ambos sexos;2014T4;61,09
01 Araba/Álava;Tasa de actividad;Ambos sexos;2014T3;59,43
01 Araba/Álava;Tasa de actividad;Ambos sexos;2014T2;61,44
01 Araba/Álava;Tasa de actividad;Ambos sexos;2014T1;61,50
01 Araba/Álava;Tasa de actividad;Ambos sexos;2013T4;61,89
01 Araba/Álava;Tasa de actividad;Ambos sexos;2013T3;61,35
01 Araba/Álava;Tasa de actividad;Ambos sexos;2013T2;61,62
01 Araba/Álava;Tasa de actividad;Ambos sexos;2013T1;61,45
01 Araba/Álava;Tasa de actividad;Ambos sexos;2012T4;62,01
01 Araba/Álava;Tasa de actividad;Ambos sexos;2012T3;61,27
01 Araba/Álava;Tasa de actividad;Ambos sexos;2012T2;60,48
01 Araba/Álava;Tasa de actividad;Ambos sexos;2012T1;60,47
01 Araba/Álava;Tasa de actividad;Ambos sexos;2011T4;62,12
01 Araba/Álava;Tasa de actividad;Ambos sexos;2011T3;61,59
01 Araba/Álava;Tasa de actividad;Ambos sexos;2011T2;61,21
01 Araba/Álava;Tasa de actividad;Ambos sexos;2011T1;62,10
01 Araba/Álava;Tasa de actividad;Ambos sexos;2010T4;61,82
01 Araba/Álava;Tasa de actividad;Ambos sexos;2010T3;60,33
01 Araba/Álava;Tasa de actividad;Ambos sexos;2010T2;61,67
01 Araba/Álava;Tasa de actividad;Ambos sexos;2010T1;61,17
01 Araba/Álava;Tasa de actividad;Ambos sexos;2009T4;61,43
01 Araba/Álava;Tasa de actividad;Ambos sexos;2009T3;60,77
01 Araba/Álava;Tasa de actividad;Ambos sexos;2009T2;60,90
01 Araba/Álava;Tasa de actividad;Ambos sexos;2009T1;62,23
01 Araba/Álava;Tasa de actividad;Ambos sexos;2008T4;62,80
01 Araba/Álava;Tasa de actividad;Ambos sexos;2008T3;62,82
01 Araba/Álava;Tasa de actividad;Ambos sexos;2008T2;61,18
01 Araba/Álava;Tasa de actividad;Ambos sexos;2008T1;59,70
01 Araba/Álava;Tasa de actividad;Ambos sexos;2007T4;60,66
01 Araba/Álava;Tasa de actividad;Ambos sexos;2007T3;58,88
01 Araba/Álava;Tasa de actividad;Ambos sexos;2007T2;59,76
01 Araba/Álava;Tasa de actividad;Ambos sexos;2007T1;59,66
01 Araba/Álava;Tasa de actividad;Ambos sexos;2006T4;58,83
01 Araba/Álava;Tasa de actividad;Ambos sexos;2006T3;61,50
01 Araba/Álava;Tasa de actividad;Ambos sexos;2006T2;61,37
01 Araba/Álava;Tasa de actividad;Ambos sexos;2006T1;61,47
01 Araba/Álava;Tasa de actividad;Ambos sexos;2005T4;60,20
01 Araba/Álava;Tasa de actividad;Ambos sexos;2005T3;58,54
01 Araba/Álava;Tasa de actividad;Ambos sexos;2005T2;59,31
01 Araba/Álava;Tasa de actividad;Ambos sexos;2005T1;60,57
01 Araba/Álava;Tasa de actividad;Ambos sexos;2004T4;62,45
01 Araba/Álava;Tasa de actividad;Ambos sexos;2004T3;62,23
01 Araba/Álava;Tasa de actividad;Ambos sexos;2004T2;62,29
01 Araba/Álava;Tasa de actividad;Ambos sexos;2004T1;62,21
01 Araba/Álava;Tasa de actividad;Ambos sexos;2003T4;61,24
01 Araba/Álava;Tasa de actividad;Ambos sexos;2003T3;60,82
01 Araba/Álava;Tasa de actividad;Ambos sexos;2003T2;60,91
01 Araba/Álava;Tasa de actividad;Ambos sexos;2003T1;59,99
01 Araba/Álava;Tasa de actividad;Ambos sexos;2002T4;60,93
01 Araba/Álava;Tasa de actividad;Ambos sexos;2002T3;59,52
01 Araba/Álava;Tasa de actividad;Ambos sexos;2002T2;59,09
01 Araba/Álava;Tasa de actividad;Ambos sexos;2002T1;58,55
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2026T1;8,88
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2025T4;7,58
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2025T3;7,74
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2025T2;6,88
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2025T1;6,59
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2024T4;7,79
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2024T3;9,40
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2024T2;8,28
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2024T1;8,80
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2023T4;5,26
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2023T3;9,70
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2023T2;7,18
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2023T1;6,67
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2022T4;7,87
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2022T3;9,01
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2022T2;9,67
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2022T1;10,21
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2021T4;9,48
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2021T3;12,30
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2021T2;10,92
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2021T1;12,76
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2020T4;9,99
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2020T3;8,04
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2020T2;7,81
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2020T1;5,59
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2019T4;7,31
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2019T3;10,23
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2019T2;8,04
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2019T1;7,54
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2018T4;7,39
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2018T3;7,99
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2018T2;10,53
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2018T1;10,54
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2017T4;9,04
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2017T3;10,95
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2017T2;13,05
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2017T1;12,03
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2016T4;11,97
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2016T3;12,16
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2016T2;13,11
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2016T1;10,71
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2015T4;12,21
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2015T3;13,33
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2015T2;15,54
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2015T1;18,97
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2014T4;16,64
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2014T3;16,32
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2014T2;16,77
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2014T1;19,06
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2013T4;18,75
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2013T3;17,06
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2013T2;16,81
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2013T1;17,43
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2012T4;19,47
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2012T3;14,96
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2012T2;15,54
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2012T1;16,32
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2011T4;11,73
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2011T3;10,25
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2011T2;9,04
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2011T1;11,98
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2010T4;11,14
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2010T3;9,60
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2010T2;10,92
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2010T1;13,70
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2009T4;14,74
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2009T3;12,91
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2009T2;9,42
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2009T1;9,90
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2008T4;7,79
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2008T3;4,38
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2008T2;4,50
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2008T1;3,27
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2007T4;4,55
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2007T3;5,05
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2007T2;5,22
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2007T1;6,94
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2006T4;6,15
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2006T3;6,87
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2006T2;7,43
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2006T1;8,71
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2005T4;6,46
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2005T3;8,68
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2005T2;5,50
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2005T1;7,99
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2004T4;9,90
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2004T3;8,69
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2004T2;9,09
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2004T1;9,85
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2003T4;9,49
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2003T3;10,26
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2003T2;8,54
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2003T1;9,09
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2002T4;9,56
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2002T3;10,31
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2002T2;8,25
01 Araba/Álava;Tasa de paro de la población;Ambos sexos;2002T1;7,98
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2026T1;52,14
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2025T4;53,40
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2025T3;52,61
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2025T2;52,02
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2025T1;52,40
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2024T4;51,68
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2024T3;50,99
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2024T2;52,25
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2024T1;52,10
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2023T4;53,47
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2023T3;52,25
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2023T2;54,00
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2023T1;54,70
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2022T4;53,96
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2022T3;52,79
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2022T2;51,39
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2022T1;50,63
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2021T4;53,32
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2021T3;51,26
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2021T2;49,32
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2021T1;49,12
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2020T4;49,60
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2020T3;50,42
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2020T2;49,84
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2020T1;52,15
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2019T4;52,28
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2019T3;51,37
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2019T2;53,66
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2019T1;54,91
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2018T4;53,83
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2018T3;53,15
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2018T2;51,63
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2018T1;51,49
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2017T4;52,72
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2017T3;50,50
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2017T2;49,65
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2017T1;50,01
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2016T4;51,80
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2016T3;51,09
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2016T2;50,27
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2016T1;52,56
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2015T4;52,25
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2015T3;50,14
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2015T2;50,53
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2015T1;49,61
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2014T4;50,93
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2014T3;49,73
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2014T2;51,13
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2014T1;49,77
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2013T4;50,29
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2013T3;50,88
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2013T2;51,26
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2013T1;50,73
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2012T4;49,94
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2012T3;52,10
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2012T2;51,08
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2012T1;50,60
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2011T4;54,83
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2011T3;55,28
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2011T2;55,68
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2011T1;54,66
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2010T4;54,93
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2010T3;54,54
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2010T2;54,94
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2010T1;52,79
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2009T4;52,37
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2009T3;52,92
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2009T2;55,16
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2009T1;56,07
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2008T4;57,91
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2008T3;60,08
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2008T2;58,43
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2008T1;57,75
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2007T4;57,90
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2007T3;55,91
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2007T2;56,64
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2007T1;55,52
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2006T4;55,22
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2006T3;57,27
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2006T2;56,81
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2006T1;56,12
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2005T4;56,31
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2005T3;53,46
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2005T2;56,05
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2005T1;55,73
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2004T4;56,27
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2004T3;56,83
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2004T2;56,63
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2004T1;56,08
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2003T4;55,42
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2003T3;54,58
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2003T2;55,71
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2003T1;54,53
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2002T4;55,11
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2002T3;53,39
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2002T2;54,21
01 Araba/Álava;Tasa de empleo de la población;Ambos sexos;2002T1;53,88
33 Asturias;Tasa de actividad;Ambos sexos;2026T1;52,02
33 Asturias;Tasa de actividad;Ambos sexos;2025T4;52,47
33 Asturias;Tasa de actividad;Ambos sexos;2025T3;52,47
33 Asturias;Tasa de actividad;Ambos sexos;2025T2;53,31
33 Asturias;Tasa de actividad;Ambos sexos;2025T1;52,47
33 Asturias;Tasa de actividad;Ambos sexos;2024T4;52,16
33 Asturias;Tasa de actividad;Ambos sexos;2024T3;51,94
33 Asturias;Tasa de actividad;Ambos sexos;2024T2;50,70
33 Asturias;Tasa de actividad;Ambos sexos;2024T1;50,81
33 Asturias;Tasa de actividad;Ambos sexos;2023T4;50,05
33 Asturias;Tasa de actividad;Ambos sexos;2023T3;51,20
33 Asturias;Tasa de actividad;Ambos sexos;2023T2;49,88
33 Asturias;Tasa de actividad;Ambos sexos;2023T1;49,21
33 Asturias;Tasa de actividad;Ambos sexos;2022T4;49,74
33 Asturias;Tasa de actividad;Ambos sexos;2022T3;49,60
33 Asturias;Tasa de actividad;Ambos sexos;2022T2;48,69
33 Asturias;Tasa de actividad;Ambos sexos;2022T1;49,66
33 Asturias;Tasa de actividad;Ambos sexos;2021T4;49,75
33 Asturias;Tasa de actividad;Ambos sexos;2021T3;50,72
33 Asturias;Tasa de actividad;Ambos sexos;2021T2;50,76
33 Asturias;Tasa de actividad;Ambos sexos;2021T1;50,42
33 Asturias;Tasa de actividad;Ambos sexos;2020T4;50,18
33 Asturias;Tasa de actividad;Ambos sexos;2020T3;50,05
33 Asturias;Tasa de actividad;Ambos sexos;2020T2;48,91
33 Asturias;Tasa de actividad;Ambos sexos;2020T1;50,95
33 Asturias;Tasa de actividad;Ambos sexos;2019T4;50,77
33 Asturias;Tasa de actividad;Ambos sexos;2019T3;50,74
33 Asturias;Tasa de actividad;Ambos sexos;2019T2;50,37
33 Asturias;Tasa de actividad;Ambos sexos;2019T1;50,92
33 Asturias;Tasa de actividad;Ambos sexos;2018T4;50,27
33 Asturias;Tasa de actividad;Ambos sexos;2018T3;51,06
33 Asturias;Tasa de actividad;Ambos sexos;2018T2;50,81
33 Asturias;Tasa de actividad;Ambos sexos;2018T1;50,95
33 Asturias;Tasa de actividad;Ambos sexos;2017T4;50,67
33 Asturias;Tasa de actividad;Ambos sexos;2017T3;50,79
33 Asturias;Tasa de actividad;Ambos sexos;2017T2;51,15
33 Asturias;Tasa de actividad;Ambos sexos;2017T1;50,83
33 Asturias;Tasa de actividad;Ambos sexos;2016T4;50,90
33 Asturias;Tasa de actividad;Ambos sexos;2016T3;52,36
33 Asturias;Tasa de actividad;Ambos sexos;2016T2;52,12
33 Asturias;Tasa de actividad;Ambos sexos;2016T1;51,35
33 Asturias;Tasa de actividad;Ambos sexos;2015T4;51,80
33 Asturias;Tasa de actividad;Ambos sexos;2015T3;51,42
33 Asturias;Tasa de actividad;Ambos sexos;2015T2;50,53
33 Asturias;Tasa de actividad;Ambos sexos;2015T1;50,13
33 Asturias;Tasa de actividad;Ambos sexos;2014T4;51,63
33 Asturias;Tasa de actividad;Ambos sexos;2014T3;52,21
33 Asturias;Tasa de actividad;Ambos sexos;2014T2;51,50
33 Asturias;Tasa de actividad;Ambos sexos;2014T1;52,01
33 Asturias;Tasa de actividad;Ambos sexos;2013T4;52,30
33 Asturias;Tasa de actividad;Ambos sexos;2013T3;52,62
33 Asturias;Tasa de actividad;Ambos sexos;2013T2;51,75
33 Asturias;Tasa de actividad;Ambos sexos;2013T1;53,07
33 Asturias;Tasa de actividad;Ambos sexos;2012T4;52,40
33 Asturias;Tasa de actividad;Ambos sexos;2012T3;52,82
33 Asturias;Tasa de actividad;Ambos sexos;2012T2;52,65
33 Asturias;Tasa de actividad;Ambos sexos;2012T1;51,33
33 Asturias;Tasa de actividad;Ambos sexos;2011T4;51,80
33 Asturias;Tasa de actividad;Ambos sexos;2011T3;51,83
33 Asturias;Tasa de actividad;Ambos sexos;2011T2;52,33
33 Asturias;Tasa de actividad;Ambos sexos;2011T1;51,50
33 Asturias;Tasa de actividad;Ambos sexos;2010T4;51,55
33 Asturias;Tasa de actividad;Ambos sexos;2010T3;52,05
33 Asturias;Tasa de actividad;Ambos sexos;2010T2;51,83
33 Asturias;Tasa de actividad;Ambos sexos;2010T1;51,93
33 Asturias;Tasa de actividad;Ambos sexos;2009T4;51,58
33 Asturias;Tasa de actividad;Ambos sexos;2009T3;51,99
33 Asturias;Tasa de actividad;Ambos sexos;2009T2;52,06
33 Asturias;Tasa de actividad;Ambos sexos;2009T1;52,22
33 Asturias;Tasa de actividad;Ambos sexos;2008T4;52,45
33 Asturias;Tasa de actividad;Ambos sexos;2008T3;53,58
33 Asturias;Tasa de actividad;Ambos sexos;2008T2;52,78
33 Asturias;Tasa de actividad;Ambos sexos;2008T1;51,85
33 Asturias;Tasa de actividad;Ambos sexos;2007T4;50,65
33 Asturias;Tasa de actividad;Ambos sexos;2007T3;50,84
33 Asturias;Tasa de actividad;Ambos sexos;2007T2;50,48
33 Asturias;Tasa de actividad;Ambos sexos;2007T1;50,17
33 Asturias;Tasa de actividad;Ambos sexos;2006T4;49,80
33 Asturias;Tasa de actividad;Ambos sexos;2006T3;50,42
33 Asturias;Tasa de actividad;Ambos sexos;2006T2;50,11
33 Asturias;Tasa de actividad;Ambos sexos;2006T1;49,67
33 Asturias;Tasa de actividad;Ambos sexos;2005T4;48,94
33 Asturias;Tasa de actividad;Ambos sexos;2005T3;48,28
33 Asturias;Tasa de actividad;Ambos sexos;2005T2;48,03
33 Asturias;Tasa de actividad;Ambos sexos;2005T1;47,94
33 Asturias;Tasa de actividad;Ambos sexos;2004T4;45,97
33 Asturias;Tasa de actividad;Ambos sexos;2004T3;46,37
33 Asturias;Tasa de actividad;Ambos sexos;2004T2;46,36
33 Asturias;Tasa de actividad;Ambos sexos;2004T1;47,02
33 Asturias;Tasa de actividad;Ambos sexos;2003T4;47,21
33 Asturias;Tasa de actividad;Ambos sexos;2003T3;47,29
33 Asturias;Tasa de actividad;Ambos sexos;2003T2;45,43
33 Asturias;Tasa de actividad;Ambos sexos;2003T1;45,13
33 Asturias;Tasa de actividad;Ambos sexos;2002T4;44,90
33 Asturias;Tasa de actividad;Ambos sexos;2002T3;44,51
33 Asturias;Tasa de actividad;Ambos sexos;2002T2;44,06
33 Asturias;Tasa de actividad;Ambos sexos;2002T1;43,30
33 Asturias;Tasa de paro de la población;Ambos sexos;2026T1;9,02
33 Asturias;Tasa de paro de la población;Ambos sexos;2025T4;8,42
33 Asturias;Tasa de paro de la población;Ambos sexos;2025T3;9,03
33 Asturias;Tasa de paro de la población;Ambos sexos;2025T2;8,57
33 Asturias;Tasa de paro de la población;Ambos sexos;2025T1;9,31
33 Asturias;Tasa de paro de la población;Ambos sexos;2024T4;8,09
33 Asturias;Tasa de paro de la población;Ambos sexos;2024T3;9,26
33 Asturias;Tasa de paro de la población;Ambos sexos;2024T2;11,79
33 Asturias;Tasa de paro de la población;Ambos sexos;2024T1;11,40
33 Asturias;Tasa de paro de la población;Ambos sexos;2023T4;11,62
33 Asturias;Tasa de paro de la población;Ambos sexos;2023T3;13,39
33 Asturias;Tasa de paro de la población;Ambos sexos;2023T2;10,38
33 Asturias;Tasa de paro de la población;Ambos sexos;2023T1;13,10
33 Asturias;Tasa de paro de la población;Ambos sexos;2022T4;14,18
33 Asturias;Tasa de paro de la población;Ambos sexos;2022T3;12,59
33 Asturias;Tasa de paro de la población;Ambos sexos;2022T2;11,60
33 Asturias;Tasa de paro de la población;Ambos sexos;2022T1;11,68
33 Asturias;Tasa de paro de la población;Ambos sexos;2021T4;10,10
33 Asturias;Tasa de paro de la población;Ambos sexos;2021T3;12,09
33 Asturias;Tasa de paro de la población;Ambos sexos;2021T2;13,42
